m49,geometry_name,ne_un_a3,fao_area,Flag,head,species,rendered_as
583,Micronesia,583,Micronesia (Federated States of),I,39100.0,Pigs,I
584,Marshall Is.,584,,,,Pigs,none
580,N. Mariana Is.,580,,,,Pigs,none
850,U.S. Virgin Is.,850,,,,Pigs,none
316,Guam,316,,,,Pigs,none
016,American Samoa,016,,,,Pigs,none
630,Puerto Rico,630,Puerto Rico,A,36069.0,Pigs,A
840,United States of America,840,United States of America,A,74955500.0,Pigs,A
-099,S. Geo. and the Is.,-099,,,,Pigs,none
-099,Br. Indian Ocean Ter.,-099,,,,Pigs,none
654,Saint Helena,654,,,,Pigs,none
612,Pitcairn Is.,612,,,,Pigs,none
660,Anguilla,660,,,,Pigs,none
238,Falkland Is.,238,,,,Pigs,none
136,Cayman Is.,136,,,,Pigs,none
060,Bermuda,060,,,,Pigs,none
092,British Virgin Is.,092,,,,Pigs,none
796,Turks and Caicos Is.,796,,,,Pigs,none
500,Montserrat,500,,,,Pigs,none
832,Jersey,832,,,,Pigs,none
831,Guernsey,831,,,,Pigs,none
833,Isle of Man,833,,,,Pigs,none
826,United Kingdom,826,United Kingdom of Great Britain and Northern Ireland,A,5220443.0,Pigs,A
784,United Arab Emirates,784,,,,Pigs,none
804,Ukraine,804,Ukraine,A,5608800.0,Pigs,A
800,Uganda,800,Uganda,A,7090656.0,Pigs,A
795,Turkmenistan,795,Turkmenistan,A,7753.0,Pigs,A
792,Turkey,792,Türkiye,A,1648.0,Pigs,A
788,Tunisia,788,Tunisia,I,5474.0,Pigs,I
780,Trinidad and Tobago,780,Trinidad and Tobago,A,31239.0,Pigs,A
776,Tonga,776,Tonga,I,84982.0,Pigs,I
768,Togo,768,Togo,A,1151925.0,Pigs,A
626,Timor-Leste,626,Timor-Leste,I,358257.0,Pigs,I
764,Thailand,764,Thailand,I,7852721.0,Pigs,I
834,Tanzania,834,United Republic of Tanzania,I,534499.0,Pigs,I
762,Tajikistan,762,Tajikistan,A,300.0,Pigs,A
158,Taiwan,-099,"China, Taiwan Province of",A,5316431.0,Pigs,A
760,Syria,760,Syrian Arab Republic,E,10.0,Pigs,E
756,Switzerland,756,Switzerland,A,1372772.0,Pigs,A
752,Sweden,752,Sweden,A,1416270.0,Pigs,A
748,eSwatini,748,Eswatini,A,55244.0,Pigs,A
740,Suriname,740,Suriname,A,33878.0,Pigs,A
728,S. Sudan,728,,,,Pigs,none
729,Sudan,729,,,,Pigs,none
144,Sri Lanka,144,Sri Lanka,A,100250.0,Pigs,A
724,Spain,724,Spain,A,34073380.0,Pigs,A
410,South Korea,410,Republic of Korea,A,11123872.0,Pigs,A
710,South Africa,710,South Africa,A,1323370.0,Pigs,A
706,Somalia,706,Somalia,I,3782.0,Pigs,I
-099,Somaliland,-099,,,,Pigs,none
090,Solomon Is.,090,Solomon Islands,I,55437.0,Pigs,I
703,Slovakia,703,Slovakia,A,380900.0,Pigs,A
705,Slovenia,705,Slovenia,A,202150.0,Pigs,A
702,Singapore,702,,,,Pigs,none
694,Sierra Leone,694,Sierra Leone,E,266702.0,Pigs,E
690,Seychelles,690,Seychelles,E,7800.0,Pigs,E
688,Serbia,688,Serbia,A,2666983.0,Pigs,A
686,Senegal,686,Senegal,A,486278.0,Pigs,A
682,Saudi Arabia,682,,,,Pigs,none
678,São Tomé and Principe,678,Sao Tome and Principe,E,39826.0,Pigs,E
674,San Marino,674,,,,Pigs,none
882,Samoa,882,Samoa,E,95651.0,Pigs,E
670,St. Vin. and Gren.,670,Saint Vincent and the Grenadines,I,6760.0,Pigs,I
662,Saint Lucia,662,Saint Lucia,E,10000.0,Pigs,E
659,St. Kitts and Nevis,659,Saint Kitts and Nevis,E,3300.0,Pigs,E
646,Rwanda,646,Rwanda,A,786191.0,Pigs,A
643,Russia,643,Russian Federation,A,26192944.0,Pigs,A
642,Romania,642,Romania,A,3328700.0,Pigs,A
634,Qatar,634,,,,Pigs,none
620,Portugal,620,Portugal,A,2183320.0,Pigs,A
616,Poland,616,Poland,A,9624250.0,Pigs,A
608,Philippines,608,Philippines,A,9426092.0,Pigs,A
604,Peru,604,Peru,A,3455032.0,Pigs,A
600,Paraguay,600,Paraguay,A,1801460.0,Pigs,A
598,Papua New Guinea,598,Papua New Guinea,I,2048983.0,Pigs,I
591,Panama,591,Panama,A,417616.0,Pigs,A
585,Palau,585,,,,Pigs,none
586,Pakistan,586,,,,Pigs,none
512,Oman,512,,,,Pigs,none
578,Norway,-99,Norway,A,773800.0,Pigs,A
408,North Korea,408,Democratic People's Republic of Korea,I,2425398.0,Pigs,I
566,Nigeria,566,Nigeria,I,9515952.0,Pigs,I
562,Niger,562,Niger,I,42817.0,Pigs,I
558,Nicaragua,558,Nicaragua,I,684400.0,Pigs,I
554,New Zealand,554,New Zealand,A,275291.0,Pigs,A
570,Niue,570,Niue,I,2328.0,Pigs,I
184,Cook Is.,184,Cook Islands,E,24000.0,Pigs,E
528,Netherlands,528,Netherlands (Kingdom of the),A,10706000.0,Pigs,A
533,Aruba,533,,,,Pigs,none
531,Curaçao,531,,,,Pigs,none
524,Nepal,524,Nepal,A,1504624.0,Pigs,A
520,Nauru,520,Nauru,I,3027.0,Pigs,I
516,Namibia,516,Namibia,A,95920.0,Pigs,A
508,Mozambique,508,Mozambique,A,2319450.0,Pigs,A
504,Morocco,504,Morocco,I,7799.0,Pigs,I
732,W. Sahara,732,,,,Pigs,none
499,Montenegro,499,Montenegro,A,24514.0,Pigs,A
496,Mongolia,496,Mongolia,A,34798.0,Pigs,A
498,Moldova,498,Republic of Moldova,A,340079.0,Pigs,A
492,Monaco,492,,,,Pigs,none
484,Mexico,484,Mexico,A,19225998.0,Pigs,A
480,Mauritius,480,Mauritius,A,21484.0,Pigs,A
478,Mauritania,478,,,,Pigs,none
470,Malta,470,Malta,A,29550.0,Pigs,A
466,Mali,466,Mali,A,89322.0,Pigs,A
462,Maldives,462,,,,Pigs,none
458,Malaysia,458,Malaysia,A,1502947.0,Pigs,A
454,Malawi,454,Malawi,A,9318943.0,Pigs,A
450,Madagascar,450,Madagascar,A,2226780.0,Pigs,A
807,North Macedonia,807,North Macedonia,A,182604.0,Pigs,A
442,Luxembourg,442,Luxembourg,A,66410.0,Pigs,A
440,Lithuania,440,Lithuania,A,517420.0,Pigs,A
438,Liechtenstein,438,,,,Pigs,none
434,Libya,434,,,,Pigs,none
430,Liberia,430,Liberia,I,276843.0,Pigs,I
426,Lesotho,426,Lesotho,A,42735.0,Pigs,A
422,Lebanon,422,Lebanon,I,7464.0,Pigs,I
428,Latvia,428,Latvia,A,307950.0,Pigs,A
418,Laos,418,Lao People's Democratic Republic,A,4408000.0,Pigs,A
417,Kyrgyzstan,417,Kyrgyzstan,A,25640.0,Pigs,A
414,Kuwait,414,,,,Pigs,none
-099,Kosovo,-099,,,,Pigs,none
296,Kiribati,296,Kiribati,E,15172.0,Pigs,E
404,Kenya,404,Kenya,A,792906.0,Pigs,A
398,Kazakhstan,398,Kazakhstan,A,509824.0,Pigs,A
400,Jordan,400,,,,Pigs,none
392,Japan,392,Japan,A,8949000.0,Pigs,A
388,Jamaica,388,Jamaica,I,218654.0,Pigs,I
380,Italy,380,Italy,A,8739000.0,Pigs,A
376,Israel,376,Israel,A,139543.0,Pigs,A
275,Palestine,275,,,,Pigs,none
372,Ireland,372,Ireland,A,1570390.0,Pigs,A
368,Iraq,368,,,,Pigs,none
364,Iran,364,,,,Pigs,none
360,Indonesia,360,Indonesia,A,6748614.0,Pigs,A
356,India,356,India,I,8635575.0,Pigs,I
352,Iceland,352,Iceland,A,26000.0,Pigs,A
348,Hungary,348,Hungary,A,2558100.0,Pigs,A
340,Honduras,340,Honduras,I,457160.0,Pigs,I
332,Haiti,332,Haiti,I,1022680.0,Pigs,I
328,Guyana,328,Guyana,I,9660.0,Pigs,I
624,Guinea-Bissau,624,Guinea-Bissau,I,437915.0,Pigs,I
324,Guinea,324,Guinea,A,169834.0,Pigs,A
320,Guatemala,320,Guatemala,I,3002627.0,Pigs,I
308,Grenada,308,Grenada,E,5000.0,Pigs,E
300,Greece,300,Greece,A,741600.0,Pigs,A
288,Ghana,288,Ghana,I,833006.0,Pigs,I
276,Germany,276,Germany,A,21366300.0,Pigs,A
268,Georgia,268,Georgia,A,152900.0,Pigs,A
270,Gambia,270,Gambia,A,15063.0,Pigs,A
266,Gabon,266,Gabon,I,224692.0,Pigs,I
250,France,250,France,A,12182590.0,Pigs,A
666,St. Pierre and Miquelon,666,,,,Pigs,none
876,Wallis and Futuna Is.,876,,,,Pigs,none
663,St-Martin,663,,,,Pigs,none
652,St-Barthélemy,652,,,,Pigs,none
258,Fr. Polynesia,258,French Polynesia,I,29213.0,Pigs,I
540,New Caledonia,540,New Caledonia,I,36821.0,Pigs,I
260,Fr. S. Antarctic Lands,260,,,,Pigs,none
248,Åland,248,,,,Pigs,none
246,Finland,246,Finland,A,997670.0,Pigs,A
242,Fiji,242,Fiji,I,69879.0,Pigs,I
231,Ethiopia,231,Ethiopia,E,36174.0,Pigs,E
233,Estonia,233,Estonia,A,269380.0,Pigs,A
232,Eritrea,232,,,,Pigs,none
226,Eq. Guinea,226,Equatorial Guinea,E,7361.0,Pigs,E
222,El Salvador,222,El Salvador,I,161090.0,Pigs,I
818,Egypt,818,Egypt,E,21000.0,Pigs,E
218,Ecuador,218,Ecuador,A,943249.0,Pigs,A
214,Dominican Rep.,214,Dominican Republic,I,506457.0,Pigs,I
212,Dominica,212,Dominica,I,5051.0,Pigs,I
262,Djibouti,262,,,,Pigs,none
304,Greenland,304,,,,Pigs,none
234,Faeroe Is.,234,,,,Pigs,none
208,Denmark,208,Denmark,A,11541000.0,Pigs,A
203,Czechia,203,Czechia,A,1328820.0,Pigs,A
-099,N. Cyprus,-099,,,,Pigs,none
196,Cyprus,196,Cyprus,A,330870.0,Pigs,A
192,Cuba,192,Cuba,A,1456200.0,Pigs,A
191,Croatia,191,Croatia,A,945000.0,Pigs,A
384,Côte d'Ivoire,384,Côte d'Ivoire,A,455626.0,Pigs,A
188,Costa Rica,188,Costa Rica,A,555952.0,Pigs,A
180,Dem. Rep. Congo,180,Democratic Republic of the Congo,A,1007850.0,Pigs,A
178,Congo,178,Congo,I,103471.0,Pigs,I
174,Comoros,174,,,,Pigs,none
170,Colombia,170,Colombia,A,9658204.0,Pigs,A
156,China,156,"China, mainland",A,452560000.0,Pigs,A
446,Macao,446,,,,Pigs,none
344,Hong Kong,344,"China, Hong Kong SAR",A,120698.0,Pigs,A
152,Chile,152,Chile,A,2767236.0,Pigs,A
148,Chad,148,Chad,I,113878.0,Pigs,I
140,Central African Rep.,140,Central African Republic,I,1120136.0,Pigs,I
132,Cabo Verde,132,Cabo Verde,A,71617.0,Pigs,A
124,Canada,124,Canada,A,14155000.0,Pigs,A
120,Cameroon,120,Cameroon,I,2248930.0,Pigs,I
116,Cambodia,116,Cambodia,E,2110539.0,Pigs,E
104,Myanmar,104,Myanmar,A,7803000.0,Pigs,A
108,Burundi,108,Burundi,A,1410985.0,Pigs,A
854,Burkina Faso,854,Burkina Faso,A,1454086.0,Pigs,A
100,Bulgaria,100,Bulgaria,A,601700.0,Pigs,A
096,Brunei,096,Brunei Darussalam,E,900.0,Pigs,E
076,Brazil,076,Brazil,A,44388351.0,Pigs,A
072,Botswana,072,Botswana,I,6999.0,Pigs,I
070,Bosnia and Herz.,070,Bosnia and Herzegovina,A,471555.0,Pigs,A
068,Bolivia,068,Bolivia (Plurinational State of),A,3176164.0,Pigs,A
064,Bhutan,064,Bhutan,A,33082.0,Pigs,A
204,Benin,204,Benin,A,910477.0,Pigs,A
084,Belize,084,Belize,I,14541.0,Pigs,I
056,Belgium,056,Belgium,A,5751180.0,Pigs,A
112,Belarus,112,Belarus,A,2512700.0,Pigs,A
052,Barbados,052,Barbados,E,24000.0,Pigs,E
050,Bangladesh,050,,,,Pigs,none
048,Bahrain,048,,,,Pigs,none
044,Bahamas,044,Bahamas,I,5021.0,Pigs,I
031,Azerbaijan,031,Azerbaijan,A,5130.0,Pigs,A
040,Austria,040,Austria,A,2650150.0,Pigs,A
036,Australia,036,Australia,I,2552808.0,Pigs,I
-099,Indian Ocean Ter.,-099,,,,Pigs,none
-099,Heard I. and McDonald Is.,-099,,,,Pigs,none
574,Norfolk Island,574,,,,Pigs,none
-099,Ashmore and Cartier Is.,-099,,,,Pigs,none
051,Armenia,051,Armenia,A,166095.0,Pigs,A
032,Argentina,032,Argentina,A,5477107.0,Pigs,A
028,Antigua and Barb.,028,Antigua and Barbuda,I,4964.0,Pigs,I
024,Angola,024,Angola,E,3013084.0,Pigs,E
020,Andorra,020,,,,Pigs,none
012,Algeria,012,Algeria,I,4860.0,Pigs,I
008,Albania,008,Albania,A,137304.0,Pigs,A
004,Afghanistan,004,,,,Pigs,none
-099,Siachen Glacier,-099,,,,Pigs,none
534,Sint Maarten,534,,,,Pigs,none
798,Tuvalu,798,Tuvalu,I,14667.0,Pigs,I
